-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                               aten::mm         0.17%     283.491us         0.23%     376.994us      10.472us      13.239ms        19.57%      13.239ms     367.747us           0 b           0 b     936.00 Mb     936.00 Mb            36                                                      [[816, 2048], [2048, 16384]]  1971389988864.000  
                                               aten::mm         0.10%     158.761us         0.16%     268.788us      14.933us       6.325ms         9.35%       6.325ms     351.377us           0 b           0 b      72.00 Mb      72.00 Mb            18                                                     [[816, 16384], [16384, 2048]]  985694994432.000  
                                               aten::mm         0.21%     344.212us         0.34%     551.062us      15.307us       1.920ms         2.84%       1.920ms      53.346us           0 b           0 b     144.00 Mb     144.00 Mb            36                                                       [[816, 2048], [2048, 2048]]  246423748608.000  
                                            aten::addmm         1.80%       2.943ms         2.68%       4.373ms      13.497us       3.081ms         4.55%       3.081ms       9.510us           0 b           0 b     182.25 Mb    -141.75 Mb           324                                       [[1152], [256, 1152], [1152, 1152], [], []]  220150628352.000  
                                            aten::addmm         0.46%     756.431us         0.80%       1.305ms      16.109us       2.030ms         3.00%       2.030ms      25.059us           0 b           0 b     170.23 Mb      89.23 Mb            81                                       [[4304], [256, 1152], [1152, 4304], [], []]  205626802176.000  
                                            aten::addmm         0.42%     692.845us         0.75%       1.222ms      15.081us       2.075ms         3.07%       2.075ms      25.615us           0 b           0 b      45.56 Mb     -35.44 Mb            81                                       [[1152], [256, 4304], [4304, 1152], [], []]  205626802176.000  
                                               aten::mm         2.01%       3.285ms         3.12%       5.098ms      14.161us       4.942ms         7.30%       4.942ms      13.729us           0 b           0 b     143.44 Mb     143.44 Mb           360                                                        [[51, 1024], [1024, 4096]]  154014842880.000  
                                               aten::mm         0.87%       1.413ms         1.42%       2.318ms      12.880us       2.376ms         3.51%       2.376ms      13.202us           0 b           0 b      17.93 Mb      17.93 Mb           180                                                        [[51, 4096], [4096, 1024]]  77007421440.000  
                                              aten::bmm         0.12%     202.191us         0.16%     257.109us      14.284us     426.184us         0.63%     426.184us      23.677us           0 b           0 b     182.88 Mb     182.88 Mb            18                                                    [[8, 816, 256], [8, 256, 816]]  49092231168.000  
                                              aten::bmm         0.09%     149.079us         0.12%     202.690us      11.261us     465.513us         0.69%     465.513us      25.862us           0 b           0 b      72.00 Mb      72.00 Mb            18                                                    [[8, 816, 816], [8, 816, 256]]  49092231168.000  
                                               aten::mm         1.12%       1.833ms         1.68%       2.735ms      15.195us       1.623ms         2.40%       1.623ms       9.017us           0 b           0 b      35.86 Mb      35.86 Mb           180                                                        [[51, 1024], [1024, 2048]]  38503710720.000  
                                               aten::mm         1.30%       2.122ms         1.96%       3.202ms      17.787us       1.599ms         2.36%       1.599ms       8.881us           0 b           0 b      17.93 Mb      17.93 Mb           180                                                        [[51, 2048], [2048, 1024]]  38503710720.000  
                                              aten::bmm         1.23%       2.004ms         1.58%       2.572ms      14.291us       1.222ms         1.81%       1.222ms       6.788us           0 b           0 b     121.46 Mb     121.46 Mb           180                                                     [[8, 51, 256], [8, 256, 867]]  32600309760.000  
                                              aten::bmm         1.03%       1.679ms         1.50%       2.442ms      13.565us       2.619ms         3.87%       2.619ms      14.548us           0 b           0 b      35.86 Mb      35.86 Mb           180                                                     [[8, 51, 867], [8, 867, 256]]  32600309760.000  
                                               aten::mm         0.16%     265.604us         0.29%     476.001us      13.222us     388.717us         0.57%     388.717us      10.798us           0 b           0 b      14.34 Mb      14.34 Mb            36                                                        [[816, 2048], [2048, 256]]  30802968576.000  
                                               aten::mm         1.77%       2.886ms         2.86%       4.661ms      12.947us       1.415ms         2.09%       1.415ms       3.930us           0 b           0 b       8.96 Mb       8.96 Mb           360                                                         [[51, 1024], [1024, 256]]  9625927680.000  
                                            aten::addmm         0.02%      33.363us         0.03%      50.886us      16.962us      33.279us         0.05%      33.279us      11.093us           0 b           0 b       3.00 Mb           0 b             3                                       [[2048], [256, 1152], [1152, 2048], [], []]  3623878656.000  
