-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                            aten::empty         2.98%       4.827ms         3.16%       5.113ms       2.194us       0.000us         0.00%       0.000us       0.000us       3.57 Kb       3.57 Kb       1.30 Gb       1.30 Gb          2330                                                          [[], [], [], [], [], []]            --  
                                               aten::mm         0.18%     291.669us         0.24%     390.441us      10.846us      13.260ms        19.60%      13.260ms     368.325us           0 b           0 b     936.00 Mb     936.00 Mb            36                                                      [[816, 2048], [2048, 16384]]  1971389988864.000  
                                    aten::empty_strided         1.71%       2.762ms         1.71%       2.762ms       2.285us       0.000us         0.00%       0.000us       0.000us       1.37 Kb       1.37 Kb     850.43 Mb     850.43 Mb          1209                                                          [[], [], [], [], [], []]            --  
                                             aten::gelu         0.06%      89.553us         0.09%     140.043us       7.780us     326.208us         0.48%     326.208us      18.123us           0 b           0 b     468.00 Mb     468.00 Mb            18                                                             [[1, 816, 16384], []]            --  
                                              aten::mul         0.04%      70.755us         0.07%     114.962us       6.387us       1.016ms         1.50%       1.016ms      56.466us           0 b           0 b     468.00 Mb     468.00 Mb            18                                                [[1, 816, 16384], [1, 816, 16384]]  240648192.000  
                                              aten::add         0.05%      84.381us         0.08%     135.107us       7.506us     358.724us         0.53%     358.724us      19.929us           0 b           0 b     365.77 Mb     365.77 Mb            18                                          [[1, 8, 816, 816], [1, 1, 816, 816], []]  95883264.000  
                                         aten::_softmax         0.06%      98.615us         0.09%     150.485us       8.360us     314.374us         0.46%     314.374us      17.465us           0 b           0 b     365.77 Mb     365.77 Mb            18                                                        [[1, 8, 816, 816], [], []]            --  
                                              aten::cat         2.73%       4.421ms         4.10%       6.645ms       8.114us       2.043ms         3.02%       2.043ms       2.495us           0 b           0 b     283.49 Mb     283.49 Mb           819                                                                          [[], []]            --  
                                         aten::_softmax         0.57%     918.507us         0.90%       1.457ms       8.096us     600.102us         0.89%     600.102us       3.334us           0 b           0 b     270.00 Mb     270.00 Mb           180                                                         [[1, 8, 51, 867], [], []]            --  
                                              aten::add         0.55%     884.738us         0.98%       1.592ms       8.846us     648.258us         0.96%     648.258us       3.601us           0 b           0 b     262.79 Mb     262.79 Mb           180                                            [[1, 8, 51, 867], [1, 1, 51, 867], []]  63672480.000  
                                              aten::pow         0.13%     213.702us         0.20%     317.538us       8.582us     170.115us         0.25%     170.115us       4.598us           0 b           0 b     235.88 Mb     235.88 Mb            37                                                              [[1, 816, 2048], []]            --  
                                              aten::mul         0.11%     175.014us         0.17%     267.285us       7.224us     256.001us         0.38%     256.001us       6.919us           0 b           0 b     235.88 Mb     235.88 Mb            37                                                     [[1, 816, 2048], [1, 816, 1]]  61833216.000  
                                              aten::mul         0.09%     138.121us         0.14%     227.864us       6.158us     175.266us         0.26%     175.266us       4.737us           0 b           0 b     235.88 Mb     235.88 Mb            37                                                          [[1, 816, 2048], [2048]]  61833216.000  
                                              aten::bmm         0.13%     203.397us         0.17%     267.168us      14.843us     425.734us         0.63%     425.734us      23.652us           0 b           0 b     182.88 Mb     182.88 Mb            18                                                    [[8, 816, 256], [8, 256, 816]]  49092231168.000  
                                              aten::mul         0.06%      92.799us         0.09%     142.406us       7.911us     108.514us         0.16%     108.514us       6.029us           0 b           0 b     182.88 Mb     182.88 Mb            18                                                            [[1, 8, 816, 816], []]  95883264.000  
                                             aten::gelu         0.21%     344.690us         0.35%     567.678us       7.008us     192.964us         0.29%     192.964us       2.382us           0 b           0 b     170.23 Mb     170.23 Mb            81                                                              [[1, 256, 4304], []]            --  
                                               aten::mm         0.21%     343.514us         0.34%     553.115us      15.364us       1.920ms         2.84%       1.920ms      53.322us           0 b           0 b     144.00 Mb     144.00 Mb            36                                                       [[816, 2048], [2048, 2048]]  246423748608.000  
                                              aten::mul         0.10%     169.924us         0.16%     261.230us       7.256us     174.469us         0.26%     174.469us       4.846us           0 b           0 b     144.00 Mb     144.00 Mb            36                                              [[1, 8, 816, 256], [1, 1, 816, 256]]  60162048.000  
