-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      26.259ms        38.81%      26.259ms      25.371us           0 b           0 b           0 b           0 b          1035                                                                                []            --  
                                               aten::mm         0.18%     291.669us         0.24%     390.441us      10.846us      13.260ms        19.60%      13.260ms     368.325us           0 b           0 b     936.00 Mb     936.00 Mb            36                                                      [[816, 2048], [2048, 16384]]  1971389988864.000  
                                               aten::mm         0.10%     158.350us         0.16%     267.005us      14.834us       6.325ms         9.35%       6.325ms     351.362us           0 b           0 b      72.00 Mb      72.00 Mb            18                                                     [[816, 16384], [16384, 2048]]  985694994432.000  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       6.311ms         9.33%       6.311ms     350.608us           0 b           0 b           0 b           0 b            18                                                                                []            --  
                                               aten::mm         2.02%       3.267ms         3.13%       5.064ms      14.066us       4.922ms         7.27%       4.922ms      13.672us           0 b           0 b     143.44 Mb     143.44 Mb           360                                                        [[51, 1024], [1024, 4096]]  154014842880.000  
                                            aten::addmm         1.90%       3.073ms         2.81%       4.555ms      14.059us       3.078ms         4.55%       3.078ms       9.499us           0 b           0 b     182.25 Mb    -141.75 Mb           324                                       [[1152], [256, 1152], [1152, 1152], [], []]  220150628352.000  
                                              aten::bmm         1.01%       1.637ms         1.35%       2.183ms      12.128us       2.629ms         3.89%       2.629ms      14.604us           0 b           0 b      35.86 Mb      35.86 Mb           180                                                     [[8, 51, 867], [8, 867, 256]]  32600309760.000  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us       2.629ms         3.89%       2.629ms      14.604us           0 b           0 b           0 b           0 b           180                                                                                []            --  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       2.470ms         3.65%       2.470ms      11.435us           0 b           0 b           0 b           0 b           216                                                                                []            --  
                                               aten::mm         0.86%       1.398ms         1.42%       2.306ms      12.810us       2.386ms         3.53%       2.386ms      13.255us           0 b           0 b      17.93 Mb      17.93 Mb           180                                                        [[51, 4096], [4096, 1024]]  77007421440.000  
                                            aten::addmm         0.44%     714.603us         0.78%       1.265ms      15.622us       2.073ms         3.06%       2.073ms      25.592us           0 b           0 b      45.56 Mb     -35.44 Mb            81                                       [[1152], [256, 4304], [4304, 1152], [], []]  205626802176.000  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us       2.046ms         3.02%       2.046ms      25.253us           0 b           0 b           0 b           0 b            81                                                                                []            --  
                                              aten::cat         2.73%       4.421ms         4.10%       6.645ms       8.114us       2.043ms         3.02%       2.043ms       2.495us           0 b           0 b     283.49 Mb     283.49 Mb           819                                                                          [[], []]            --  
                                            aten::addmm         0.48%     775.685us         0.82%       1.333ms      16.456us       2.031ms         3.00%       2.031ms      25.078us           0 b           0 b     170.23 Mb      89.23 Mb            81                                       [[4304], [256, 1152], [1152, 4304], [], []]  205626802176.000  
                                               aten::mm         0.21%     343.514us         0.34%     553.115us      15.364us       1.920ms         2.84%       1.920ms      53.322us           0 b           0 b     144.00 Mb     144.00 Mb            36                                                       [[816, 2048], [2048, 2048]]  246423748608.000  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.851ms         2.74%       1.851ms       2.695us           0 b           0 b           0 b           0 b           687                                                                                []            --  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       1.684ms         2.49%       1.684ms       1.509us           0 b           0 b           0 b           0 b          1116                                                                                []            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.652ms         2.44%       1.652ms       2.781us           0 b           0 b           0 b           0 b           594                                                                                []            --  
